Monetary
Real estate
Slavery
Oth. prop.
Term. prop.
Family
Women
Inherit.
Waqf
Gender
Dispute
Crime
Punish.
Taxation
Land
Transact.
Debts
Ritual
Doctrinal
Functionaries
Communal
Non-Muslims
Represent.
Agri.
Food
Animals
Intox.
Illness
Military
